,Brands,Model,Processor,RAM,ROM,Battery,Screen_Size,Prices
0,Realme,Pad,2.2,4,64,8340,10.95,25999
1,Apple,iPad,2.0,8,64,8600,10.2,28990
2,Xiaomi,Mi,2.2,4,64,5299,10.28,39999
3,OnePlus,Pad,2.65,6,256,10090,10.28,39999
4,Xiaomi,Mi,65.0,6,128,8720,10.28,29107
5,Nokia,T21,3.2,4,128,8200,12.4,18999
6,Samsung,Galaxy,2.0,4,64,7040,10.28,25999
7,Xiaomi,Redmi,2.84,4,64,8000,10.28,16999
8,Xiaomi,Redmi,84.0,6,128,8000,10.36,19499
9,Realme,Pad,2.96,4,128,7100,10.28,16490
10,Samsung,Galaxy,96.0,4,64,8040,10.28,22990
11,Samsung,Galaxy,2.3,4,64,7040,10.28,20999
12,Vivo,Pad,3.0,8,64,8040,10.4,28990
13,Realme,Pad,2.2,3,128,7100,10.61,14999
14,Realme,Pad,2.0,6,32,8340,10.28,27999
15,Xiaomi,Mi,2.2,6,128,8720,10.28,28448
16,Apple,iPad,2.2,4,64,5299,10.28,62900
17,Realme,Pad,2.2,4,64,5299,10.28,19999
18,Xiaomi,Pad,2.0,6,256,7100,10.61,34999
19,Samsung,Galaxy,2.2,6,64,8720,10.28,111999
20,Xiaomi,Mi,2.0,12,128,11200,10.28,28448
21,Realme,Pad,3.2,4,128,8340,10.28,16490
22,Samsung,Galaxy,2.0,8,256,8600,10.4,32999
23,Xiaomi,Mi,2.2,6,64,10090,10.28,29107
24,Samsung,Galaxy,2.0,6,64,8720,10.58,25999
25,Motorola,Moto,2.2,4,64,5299,10.28,19999
26,Lenovo,Tab,2.96,4,256,8200,10.5,23999
27,Xiaomi,Redmi,2.2,4,64,5299,10.28,19499
28,Realme,Pad,96.0,4,128,7040,10.4,25999
29,Apple,iPad,3.2,4,128,8000,10.95,28990
30,Xiaomi,Mi,2.0,6,64,8000,10.9,39999
31,OnePlus,Pad,2.2,4,64,7100,10.4,39999
32,Xiaomi,Mi,2.0,4,128,8040,14.6,29107
33,Nokia,T21,2.65,4,64,5299,10.28,18999
34,Samsung,Galaxy,2.2,4,64,5299,10.28,25999
35,Xiaomi,Redmi,65.0,4,128,7040,10.95,16999
36,Xiaomi,Redmi,3.2,8,64,8040,10.2,19499
37,Realme,Pad,2.0,3,64,7100,12.4,16490
38,Samsung,Galaxy,2.84,6,64,8340,10.36,22990
39,Samsung,Galaxy,2.2,4,64,5299,10.28,20999
40,Vivo,Pad,84.0,6,128,8720,10.4,28990
41,Realme,Pad,2.96,6,32,7100,10.28,14999
42,Realme,Pad,96.0,6,128,8720,10.61,27999
43,Xiaomi,Mi,2.3,12,256,11200,10.28,28448
44,Apple,iPad,3.0,4,64,8340,10.28,62900
45,Realme,Pad,2.2,8,128,8600,10.28,19999
46,Xiaomi,Pad,2.0,6,128,10090,10.61,34999
47,Samsung,Galaxy,2.2,6,256,8720,10.28,111999
48,Xiaomi,Mi,2.0,4,64,8200,10.28,28448
49,Realme,Pad,2.2,4,64,7040,10.28,16490
50,Samsung,Galaxy,2.0,4,256,8000,10.28,32999
51,Xiaomi,Mi,2.2,4,64,5299,10.28,29107
52,Samsung,Galaxy,3.2,6,128,8000,10.4,25999
53,Motorola,Moto,2.0,4,64,5299,10.28,19999
54,Lenovo,Tab,2.2,4,128,7100,10.58,23999
55,Xiaomi,Redmi,2.0,4,64,8040,10.5,19499
56,Realme,Pad,2.2,4,64,5299,10.28,25999
57,Apple,iPad,2.96,4,64,7040,10.4,28990
58,Xiaomi,Mi,2.2,4,64,5299,10.28,39999
59,OnePlus,Pad,96.0,8,128,8040,10.95,39999
60,Xiaomi,Mi,3.2,3,128,7100,10.9,29107
61,Nokia,T21,2.0,6,64,8340,10.4,18999
62,Samsung,Galaxy,2.2,4,64,5299,10.28,25999
63,Xiaomi,Redmi,2.2,4,64,5299,10.28,16999
64,Xiaomi,Redmi,2.2,6,64,8720,14.6,19499
65,Realme,Pad,2.0,6,64,7100,10.95,16490
66,Samsung,Galaxy,2.65,6,128,8720,10.2,22990
67,Samsung,Galaxy,65.0,12,32,11200,12.4,20999
68,Vivo,Pad,2.2,4,64,5299,10.28,28990
69,Realme,Pad,3.2,4,128,8340,10.36,14999
70,Realme,Pad,2.0,4,64,5299,10.28,27999
71,Xiaomi,Mi,2.2,4,64,5299,10.28,28448
72,Apple,iPad,2.84,8,256,8600,10.4,62900
73,Realme,Pad,84.0,6,64,10090,10.28,19999
74,Xiaomi,Pad,2.96,6,128,8720,10.28,34999
75,Samsung,Galaxy,96.0,4,128,8200,10.28,111999
76,Xiaomi,Mi,2.3,4,256,7040,10.28,28448
77,Realme,Pad,3.0,4,64,8000,10.28,16490
78,Samsung,Galaxy,2.2,6,64,8000,10.61,32999
79,Xiaomi,Mi,2.0,4,256,7100,10.28,29107
80,Samsung,Galaxy,2.2,4,128,8040,10.28,25999
81,Motorola,Moto,2.0,4,128,7040,10.61,19999
82,Lenovo,Tab,2.2,8,64,8040,10.28,23999
83,Xiaomi,Redmi,2.0,3,64,7100,10.28,19499
84,Realme,Pad,2.2,4,64,5299,10.28,25999
85,Apple,iPad,3.2,6,128,8340,10.28,28990
86,Xiaomi,Mi,2.0,6,128,8720,10.4,39999
87,OnePlus,Pad,2.2,6,64,7100,10.28,39999
88,Xiaomi,Mi,2.0,6,64,8720,10.28,29107
89,Nokia,T21,2.96,12,64,11200,10.28,18999
90,Samsung,Galaxy,96.0,4,128,8340,10.58,25999
91,Xiaomi,Redmi,3.2,8,32,8600,10.28,16999
92,Xiaomi,Redmi,2.0,6,128,10090,10.5,19499
93,Realme,Pad,2.2,6,256,8720,10.28,16490
94,Samsung,Galaxy,2.0,4,64,8200,10.28,22990
95,Samsung,Galaxy,2.65,4,128,7040,10.4,20999
96,Vivo,Pad,2.2,4,64,5299,10.28,28990
97,Realme,Pad,65.0,4,64,5299,10.28,14999
98,Realme,Pad,3.2,4,64,5299,10.95,27999
99,Xiaomi,Mi,2.0,4,128,8000,10.28,28448
100,Apple,iPad,2.84,6,256,8000,10.28,62900
101,Realme,Pad,84.0,4,64,7100,10.9,19999
102,Xiaomi,Pad,2.96,4,64,8040,10.4,34999
103,Samsung,Galaxy,96.0,4,256,7040,10.28,111999
104,Xiaomi,Mi,2.3,8,128,8040,10.28,28448
105,Realme,Pad,3.0,3,128,7100,14.6,16490
106,Samsung,Galaxy,2.2,6,64,8340,10.28,32999
107,Xiaomi,Mi,2.0,6,64,8720,10.28,29107
108,Samsung,Galaxy,2.2,6,128,7100,10.95,25999
109,Motorola,Moto,2.0,6,128,8720,10.28,19999
110,Lenovo,Tab,2.2,12,64,11200,10.28,23999
111,Xiaomi,Redmi,2.2,4,64,5299,10.28,19499
112,Realme,Pad,2.0,4,64,5299,10.28,25999
113,Apple,iPad,3.2,4,64,8340,10.2,28990
114,Xiaomi,Mi,2.0,4,128,5299,10.28,39999
115,OnePlus,Pad,2.2,8,32,8600,12.4,39999
116,Xiaomi,Mi,2.0,4,128,5299,10.28,29107
117,Nokia,T21,2.96,6,256,10090,10.36,18999
118,Samsung,Galaxy,96.0,6,64,8720,10.4,25999
119,Xiaomi,Redmi,3.2,4,128,5299,10.28,16999
120,Xiaomi,Redmi,2.0,4,128,5299,10.28,19499
121,Realme,Pad,2.2,4,256,8200,10.61,16490
122,Samsung,Galaxy,2.0,4,64,7040,10.61,22990
123,Samsung,Galaxy,2.65,4,64,5299,10.28,20999
124,Vivo,Pad,65.0,4,256,8000,10.4,28990
125,Realme,Pad,3.2,4,64,5299,10.28,14999
126,Realme,Pad,2.2,4,64,5299,10.28,27999
127,Xiaomi,Mi,2.0,4,64,5299,10.28,28448
128,Apple,iPad,2.2,4,128,5299,10.28,62900
129,Realme,Pad,2.84,6,128,8000,10.58,19999
130,Xiaomi,Pad,2.2,4,64,5299,10.28,34999
131,Samsung,Galaxy,84.0,4,64,7100,10.5,111999
132,Xiaomi,Mi,2.96,4,64,8040,10.4,28448
133,Realme,Pad,96.0,4,128,7040,10.95,16490
134,Samsung,Galaxy,2.3,8,128,8040,10.9,32999
135,Xiaomi,Mi,3.0,3,64,7100,10.4,29107
136,Samsung,Galaxy,2.2,6,64,8340,14.6,25999
137,Motorola,Moto,2.0,4,64,5299,10.28,19999
138,Lenovo,Tab,2.2,6,64,8720,10.95,23999
139,Xiaomi,Redmi,2.0,6,128,7100,10.2,19499
140,Realme,Pad,2.2,6,32,8720,12.4,25999
141,Apple,iPad,2.0,12,128,11200,10.36,28990
142,Xiaomi,Mi,2.2,4,64,5299,10.28,39999
143,OnePlus,Pad,3.2,4,256,8340,10.4,39999
144,Xiaomi,Mi,2.0,4,64,5299,10.28,29107
145,Nokia,T21,2.2,4,128,5299,10.28,18999
146,Samsung,Galaxy,2.0,8,128,8600,10.61,25999
147,Xiaomi,Redmi,2.96,4,256,5299,10.28,16999
148,Xiaomi,Redmi,2.2,6,64,10090,10.61,19499
149,Realme,Pad,96.0,4,64,5299,10.28,16490
150,Samsung,Galaxy,3.2,4,64,5299,10.28,22990
151,Samsung,Galaxy,2.0,6,256,8720,10.4,20999
152,Vivo,Pad,2.2,4,128,8200,10.58,28990
153,Realme,Pad,2.2,4,64,5299,10.28,14999
154,Realme,Pad,2.2,4,64,5299,10.28,27999
155,Xiaomi,Mi,2.0,4,128,5299,10.28,28448
156,Apple,iPad,2.65,4,64,7040,10.5,62900
157,Realme,Pad,65.0,4,64,8000,10.4,19999
158,Xiaomi,Pad,3.2,4,128,5299,10.28,34999
159,Samsung,Galaxy,2.0,6,128,8000,10.95,111999
160,Xiaomi,Mi,2.84,4,64,5299,10.28,28448
161,Realme,Pad,84.0,4,64,7100,10.9,16490
162,Samsung,Galaxy,2.96,4,64,8040,10.4,32999
163,Xiaomi,Mi,96.0,4,128,7040,14.6,29107
164,Samsung,Galaxy,2.3,4,32,5299,10.28,25999
165,Motorola,Moto,3.0,8,128,8040,10.95,19999
166,Lenovo,Tab,2.2,4,256,5299,10.28,23999
167,Xiaomi,Redmi,2.0,4,64,5299,10.28,19499
168,Realme,Pad,2.2,3,128,7100,10.2,25999
169,Apple,iPad,2.0,6,128,8340,12.4,28990
170,Xiaomi,Mi,2.2,4,64,5299,10.28,39999
171,OnePlus,Pad,2.2,6,256,8720,10.36,39999
172,Xiaomi,Mi,2.0,6,64,7100,10.4,29107
173,Nokia,T21,3.2,4,64,5299,10.28,18999
174,Samsung,Galaxy,2.0,6,256,8720,10.61,25999
175,Xiaomi,Redmi,2.2,4,128,5299,10.28,16999
176,Xiaomi,Redmi,2.0,12,128,11200,10.61,19499
177,Realme,Pad,2.96,4,64,5299,10.28,16490
178,Samsung,Galaxy,96.0,4,64,8340,10.4,22990
179,Samsung,Galaxy,3.2,4,64,5299,10.28,20999
180,Vivo,Pad,2.0,4,64,5299,10.28,28990
181,Realme,Pad,2.2,8,128,8600,10.58,14999
182,Realme,Pad,2.0,6,128,10090,10.5,27999
183,Xiaomi,Mi,2.65,4,64,5299,10.28,28448
184,Apple,iPad,2.2,4,64,5299,10.28,62900
185,Realme,Pad,65.0,6,64,8720,10.4,19999
186,Xiaomi,Pad,3.2,4,64,8200,10.95,34999
187,Samsung,Galaxy,2.0,4,64,5299,10.28,111999
188,Xiaomi,Mi,2.2,4,64,5299,10.28,28448
189,Realme,Pad,2.84,4,128,5299,10.28,16490
190,Samsung,Galaxy,84.0,4,64,5299,10.28,32999
191,Xiaomi,Mi,2.96,4,32,5299,10.28,29107
192,Samsung,Galaxy,96.0,4,128,5299,10.28,25999
193,Motorola,Moto,2.3,4,64,5299,10.28,19999
194,Lenovo,Tab,3.0,4,64,5299,10.28,23999
195,Xiaomi,Redmi,2.2,4,256,7040,10.9,19499
196,Realme,Pad,2.0,4,64,8000,10.4,25999
197,Apple,iPad,2.2,6,128,8000,14.6,28990
198,Xiaomi,Mi,2.0,4,128,7100,10.95,39999
199,OnePlus,Pad,2.2,4,256,8040,10.2,39999
200,Xiaomi,Mi,2.0,4,64,7040,12.4,29107
201,Nokia,T21,3.2,8,64,8040,10.36,18999
202,Samsung,Galaxy,2.0,3,256,7100,10.4,25999
203,Xiaomi,Redmi,2.2,6,128,8340,10.61,16999
204,Xiaomi,Redmi,2.0,4,64,5299,10.28,19499
205,Realme,Pad,2.96,6,128,8720,10.28,16490
206,Samsung,Galaxy,96.0,6,64,7100,10.61,22990
207,Samsung,Galaxy,3.2,6,64,8720,10.28,20999
208,Vivo,Pad,2.0,12,128,11200,10.28,28990
209,Realme,Pad,2.2,4,128,8340,10.28,14999
210,Realme,Pad,2.0,8,64,8600,10.28,27999
211,Xiaomi,Mi,2.65,6,64,10090,10.4,28448
212,Apple,iPad,65.0,6,64,8720,10.28,62900
213,Realme,Pad,2.2,4,64,5299,10.28,19999
214,Xiaomi,Pad,3.2,4,128,8200,10.58,34999
215,Samsung,Galaxy,2.2,4,64,5299,10.28,111999
216,Xiaomi,Mi,2.0,4,32,7040,10.5,28448
217,Realme,Pad,2.2,4,64,5299,10.28,16490
218,Samsung,Galaxy,2.84,4,128,5299,10.28,32999
219,Xiaomi,Mi,84.0,4,256,8000,10.4,29107
220,Samsung,Galaxy,2.96,6,64,8000,10.28,25999
221,Motorola,Moto,96.0,4,128,7100,10.95,19999
222,Lenovo,Tab,2.3,4,128,8040,10.28,23999
223,Xiaomi,Redmi,3.0,4,256,7040,10.9,19499
224,Realme,Pad,2.2,8,64,8040,10.4,25999
225,Apple,iPad,2.0,3,64,7100,10.28,28990
226,Xiaomi,Mi,2.2,6,256,8340,14.6,39999
227,OnePlus,Pad,2.0,6,128,8720,10.28,39999
228,Xiaomi,Mi,2.2,6,128,7100,10.28,29107
229,Nokia,T21,2.0,4,64,5299,10.28,18999
230,Samsung,Galaxy,2.2,4,64,5299,10.28,25999
231,Xiaomi,Redmi,3.2,6,64,8720,10.95,16999
232,Xiaomi,Redmi,2.0,12,64,11200,10.2,19499
233,Realme,Pad,2.2,4,128,8340,12.4,16490
234,Samsung,Galaxy,2.2,4,64,5299,10.28,22990
235,Samsung,Galaxy,2.0,8,128,8600,10.28,20999
236,Vivo,Pad,2.96,6,64,10090,10.36,28990
237,Realme,Pad,96.0,6,64,8720,10.28,14999
238,Realme,Pad,3.2,4,64,8200,10.28,27999
239,Xiaomi,Mi,2.0,4,128,7040,10.4,28448
240,Apple,iPad,2.2,4,32,8000,10.28,62900
241,Realme,Pad,2.0,6,128,8000,10.28,19999
242,Xiaomi,Pad,2.65,4,256,7100,10.28,34999
243,Samsung,Galaxy,65.0,4,64,8040,10.61,111999
244,Xiaomi,Mi,3.2,4,128,7040,10.61,28448
245,Realme,Pad,2.0,8,128,8040,10.28,16490
246,Samsung,Galaxy,2.84,4,64,5299,10.4,32999
247,Xiaomi,Mi,84.0,3,256,7100,10.28,29107
248,Samsung,Galaxy,2.96,6,64,8340,10.28,25999
249,Motorola,Moto,96.0,6,64,8720,10.28,19999
250,Lenovo,Tab,2.3,6,256,7100,10.28,23999
251,Xiaomi,Redmi,3.0,6,128,8720,10.58,19499
252,Realme,Pad,2.2,12,128,11200,10.28,25999
253,Apple,iPad,2.0,4,64,8340,10.28,28990
254,Xiaomi,Mi,2.2,8,64,8600,10.5,39999
255,OnePlus,Pad,2.0,6,128,10090,10.28,39999
256,Xiaomi,Mi,2.2,6,128,8720,10.4,29107
257,Nokia,T21,2.0,4,64,8200,10.28,18999
258,Samsung,Galaxy,3.2,4,64,7040,10.28,25999
259,Xiaomi,Redmi,2.0,4,64,8000,10.95,16999
260,Xiaomi,Redmi,2.2,4,64,5299,10.28,19499
261,Realme,Pad,2.0,6,128,8000,10.9,16490
262,Samsung,Galaxy,2.96,4,32,7100,10.28,22990
263,Samsung,Galaxy,96.0,4,64,8040,10.28,20999
264,Vivo,Pad,3.2,4,128,7040,10.4,28990
265,Realme,Pad,2.0,4,64,5299,10.28,14999
266,Realme,Pad,2.2,8,256,8040,14.6,27999
267,Xiaomi,Mi,2.0,3,64,7100,10.95,28448
268,Apple,iPad,2.65,6,128,8340,10.2,62900
269,Realme,Pad,65.0,6,128,8720,12.4,19999
270,Xiaomi,Pad,3.2,6,256,7100,10.36,34999
271,Samsung,Galaxy,2.0,6,64,8720,10.4,111999
272,Xiaomi,Mi,2.84,4,64,5299,10.28,28448
273,Realme,Pad,84.0,12,64,11200,10.61,16490
274,Samsung,Galaxy,2.96,4,256,8340,10.61,32999
275,Xiaomi,Mi,2.2,4,64,5299,10.28,29107
276,Samsung,Galaxy,2.2,4,64,5299,10.28,25999
277,Motorola,Moto,2.2,4,64,5299,10.28,19999
278,Lenovo,Tab,96.0,8,128,8600,10.4,23999
279,Xiaomi,Redmi,2.3,6,128,10090,10.58,19499
280,Realme,Pad,3.0,6,64,8720,10.5,25999
281,Apple,iPad,2.2,4,64,8200,10.4,28990
282,Xiaomi,Mi,2.0,4,128,7040,10.95,39999
283,OnePlus,Pad,2.2,4,128,8000,10.9,39999
284,Xiaomi,Mi,2.0,6,64,8000,10.4,29107
285,Nokia,T21,2.2,4,64,7100,14.6,18999
286,Samsung,Galaxy,2.0,4,64,5299,10.28,25999
287,Xiaomi,Redmi,2.2,4,128,5299,10.28,16999
288,Xiaomi,Redmi,3.2,4,64,8040,10.95,19499
289,Realme,Pad,2.0,4,32,7040,10.2,16490
290,Samsung,Galaxy,2.2,8,128,8040,12.4,22990
291,Samsung,Galaxy,2.0,3,256,7100,10.36,20999
292,Vivo,Pad,2.96,6,64,8340,10.4,28990
293,Realme,Pad,96.0,6,128,8720,10.61,14999
294,Realme,Pad,3.2,6,128,7100,10.61,27999
295,Xiaomi,Mi,2.0,6,256,8720,10.4,28448
296,Apple,iPad,2.2,12,64,11200,10.58,62900
297,Realme,Pad,2.0,4,64,8340,10.5,19999
298,Xiaomi,Pad,2.65,8,256,8600,10.4,34999
299,Samsung,Galaxy,65.0,4,64,5299,10.28,111999
300,Xiaomi,Mi,3.2,6,128,10090,10.95,28448
301,Realme,Pad,2.0,6,128,8720,10.9,16490
302,Samsung,Galaxy,2.84,4,64,8200,10.4,32999
303,Xiaomi,Mi,84.0,4,64,7040,14.6,29107
304,Samsung,Galaxy,2.96,4,128,8000,10.95,25999
305,Motorola,Moto,96.0,6,128,8000,10.2,19999
306,Lenovo,Tab,2.3,4,64,5299,10.28,23999
307,Xiaomi,Redmi,3.0,4,64,7100,12.4,19499
308,Realme,Pad,2.2,4,64,8040,10.36,25999
309,Apple,iPad,2.0,4,64,7040,10.4,28990
310,Xiaomi,Mi,2.2,8,128,8040,10.61,39999
311,OnePlus,Pad,2.0,3,32,7100,10.61,39999
312,Xiaomi,Mi,2.2,6,128,8340,10.4,29107
313,Nokia,T21,2.0,6,256,8720,10.58,18999
314,Samsung,Galaxy,3.2,6,64,7100,10.5,25999
315,Xiaomi,Redmi,2.0,6,128,8720,10.4,16999
316,Xiaomi,Redmi,2.2,4,64,5299,10.28,19499
317,Realme,Pad,2.0,4,64,5299,10.28,16490
318,Samsung,Galaxy,2.96,12,128,11200,10.95,22990
319,Samsung,Galaxy,96.0,4,256,8340,10.9,20999
320,Vivo,Pad,3.2,8,64,8600,10.4,28990
321,Realme,Pad,2.2,4,64,5299,10.28,14999
322,Realme,Pad,2.0,6,64,10090,14.6,27999
323,Xiaomi,Mi,2.2,4,64,5299,10.28,28448
324,Apple,iPad,2.2,4,256,5299,10.28,62900
325,Realme,Pad,2.0,6,128,8720,10.95,19999
326,Xiaomi,Pad,2.65,4,128,8200,10.2,34999
327,Samsung,Galaxy,65.0,4,64,5299,10.28,111999
328,Xiaomi,Mi,3.2,4,64,5299,10.28,28448
329,Realme,Pad,2.0,4,64,5299,10.28,16490
330,Samsung,Galaxy,2.84,4,64,7040,12.4,32999
331,Xiaomi,Mi,84.0,4,128,8000,10.36,29107
332,Samsung,Galaxy,2.96,6,128,8000,10.4,25999
333,Motorola,Moto,96.0,4,64,7100,10.61,19999
334,Lenovo,Tab,2.3,4,64,5299,10.28,23999
335,Xiaomi,Redmi,3.0,4,64,5299,10.28,19499
336,Realme,Pad,2.2,4,64,5299,10.28,25999
337,Apple,iPad,2.0,4,64,8040,10.61,28990
338,Xiaomi,Mi,2.2,4,128,7040,10.4,39999
339,OnePlus,Pad,2.0,8,32,8040,10.58,39999
340,Xiaomi,Mi,2.2,4,64,5299,10.28,29107
341,Nokia,T21,2.0,3,128,7100,10.5,18999
342,Samsung,Galaxy,3.2,4,64,5299,10.28,25999
343,Xiaomi,Redmi,2.0,4,256,5299,10.28,16999
344,Xiaomi,Redmi,2.2,4,64,5299,10.28,19499
345,Realme,Pad,2.0,6,64,8340,10.4,16490
346,Samsung,Galaxy,2.2,4,64,5299,10.28,22990
347,Samsung,Galaxy,2.96,4,64,5299,10.28,20999
348,Vivo,Pad,96.0,6,128,8720,10.95,28990
349,Realme,Pad,3.2,4,128,5299,10.28,14999
