,Brands,Model,Colors,RAM,ROM,Battery,Screen_Size,Prices
474,Swipe,Strike,Gold),2,256,2685,17.78,6045
475,DELL,Inspiron,16 GB/512 GB SSD/Windows 10) Inspiron 5410 2 in 1 Laptop,2,32,2685,35.56,79490
476,APPLE,iPad,Gold),2,64,2685,24.64,46300
477,APPLE,iPad,4th Generation) 6 GB RAM 256 GB ROM 12.9 inch with Wi-Fi+4G ,2,128,2685,32.77,99900
478,REDMI,Pad,Mint Green),3,64,4000,26.95,20499
479,DELL,Inspiron,8 GB/512 GB SSD/Windows 10 Home) INSP 5406 2in1 2 in 1 Laptop,2,64,2685,35.56,74990
480,APPLE,iPad,2018) 512 GB ROM 11 inch with Wi-Fi Only ,4,64,5870,27.94,103900
481,APPLE,iPad,Space Grey),4,256,5000,26.67,44893
482,APPLE,iPad,Gold),2,64,4800,24.64,28000
483,I,Kall,"Blue, 64 GB)",3,16,5000,16.51,7779
484,Lenovo,Tab,2nd Gen) 1 GB RAM 8 GB ROM 7 inch with Wi-Fi Only Tablet ,2,128,2685,17.78,5999
485,APPLE,iPad,2018) 1 TB ROM 12.9 inch with Wi-Fi+4G ,1,32,7300,32.77,171900
486,APPLE,iPad,2018) 512 GB ROM 11 inch with Wi-Fi+4G ,2,32,2685,27.94,117900
487,I,Kall,"Dark Blue, 64 GB)",2,16,2685,15.9,6283
488,APPLE,iPad,2018) 1 TB ROM 12.9 inch with Wi-Fi Only ,2,64,2685,32.77,157900
489,APPLE,iPad,2018) 512 GB ROM 11 inch with Wi-Fi+4G ,2,128,10090,27.94,117900
490,APPLE,iPad,2nd Generation) 6 GB RAM 256 GB ROM 11 inch with Wi-Fi+4G ,2,256,2685,27.94,85900
491,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,2,128,2685,35.56,61790
492,APPLE,iPad,2018) 64 GB ROM 12.9 inch with Wi-Fi Only ,2,512,2685,32.77,89900
493,APPLE,iPad,2018) 256 GB ROM 12.9 inch with Wi-Fi+4G ,2,64,2685,32.77,117900
494,APPLE,iPad,Silver),5,32,3500,26.67,69900
495,I,Kall,"Silver, 8 GB)",2,64,2685,12.7,3999
496,APPLE,iPad,4th Generation) 6 GB RAM 256 GB ROM 12.9 inch with Wi-Fi Only ,2,64,2685,32.77,94900
497,SAMSUNG,Galaxy,Gold),2,64,4800,24.64,27999
498,iball,Slide,Silver Chrome),2,8,2685,20.32,8499
499,Alcatel,A3,VOLTE) 2 GB RAM 16 GB ROM 10.1 inch with Wi-Fi+4G Tablet ,2,512,2685,25.65,8809
500,APPLE,iPad,Silver),2,64,2685,32.77,85900
501,Alcatel,A3,VOLTE) 2 GB RAM 16 GB ROM 10.1 inch with Wi-Fi+4G Tablet ,1,512,2685,25.65,9999
502,APPLE,iPad,2018) 256 GB ROM 11 inch with Wi-Fi+4G ,2,64,7300,27.94,99900
503,SAMSUNG,Galaxy,Gold),2,64,2685,25.4,19999
504,APPLE,iPad,Silver),2,256,2685,32.77,85900
505,SAMSUNG,Galaxy,Black),2,64,2685,26.67,26999
506,SAMSUNG,Galaxy,Gold),2,64,2685,25.4,19999
507,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,4,256,2685,35.56,61790
508,Alcatel,A3,VOLTE) 2 GB RAM 16 GB ROM 10.1 inch with Wi-Fi+4G Tablet ,2,256,2685,25.65,8809
509,Alcatel,A3,VOLTE) 2 GB RAM 16 GB ROM 10.1 inch with Wi-Fi+4G Tablet ,2,64,2685,25.65,9999
510,APPLE,iPad,2018) 256 GB ROM 11 inch with Wi-Fi+4G ,2,8,2685,27.94,99900
511,APPLE,iPad,7th Gen) 128 GB ROM 10.2 inch with Wi-Fi Only ,4,256,7040,25.91,35200
512,APPLE,iPad,2018) 256 GB ROM 12.9 inch with Wi-Fi+4G ,2,64,2685,32.77,117900
513,APPLE,iPad,2nd Generation) 6 GB RAM 512 GB ROM 11 inch with Wi-Fi+4G ,2,32,7500,27.94,103900
514,Wishtel,Wishtel,0,1,16,10090,20.32,9120
515,APPLE,iPad,2nd Generation) 6 GB RAM 512 GB ROM 11 inch with Wi-Fi Only ,3,16,8000,27.94,89900
516,APPLE,iPad,2nd Generation) 6 GB RAM 256 GB ROM 11 inch with Wi-Fi Only ,2,64,2685,27.94,71900
517,HP,Pro,Black),2,512,4060,20.32,8999
518,iball,Brisk,Cobalt Blue),2,16,2685,17.78,7499
519,APPLE,iPad,2018) 256 GB ROM 11 inch with Wi-Fi Only ,1,256,7040,27.94,85900
520,APPLE,iPad,Silver),4,32,3200,24.64,46300
521,APPLE,iPad,2nd Generation) 6 GB RAM 256 GB ROM 11 inch with Wi-Fi Only ,2,512,5180,27.94,75495
522,Honor,Pad,Glacial Blue),2,64,2685,25.65,19999
523,APPLE,iPad,5th Generation) 8 GB RAM 128 GB ROM 12.9 inches with Wi-Fi+5G ,4,32,10090,32.77,113900
524,APPLE,iPad,7th Gen) 128 GB ROM 10.2 inch with Wi-Fi Only ,2,64,2685,25.91,35295
525,APPLE,iPad,4th Generation) 6 GB RAM 128 GB ROM 12.9 inch with Wi-Fi+4G ,2,32,2685,32.77,103900
526,APPLE,iPad,7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Only ,2,16,2685,25.91,29900
527,APPLE,iPad,2nd Generation) 6 GB RAM 256 GB ROM 11 inch with Wi-Fi+4G ,3,16,3000,27.94,85900
528,APPLE,iPad,7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Only ,2,256,4000,25.91,29900
529,APPLE,iPad,2nd Generation) 6 GB RAM 256 GB ROM 11 inch with Wi-Fi+4G ,2,128,6100,27.94,85900
530,SAMSUNG,Galaxy,Chiffon Pink...,2,256,2685,26.42,31999
531,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,2,512,2685,35.56,61790
532,Lenovo,A7-30,0,2,32,2685,17.78,7499
533,SAMSUNG,Galaxy,Mystic Silver),2,512,2685,31.5,73999
534,SAMSUNG,Galaxy,Gold),2,256,4050,20.32,17989
535,Honor,MediaPad,Luxurious Gold),1,16,4000,20.32,11999
536,SAMSUNG,Galaxy,EBONY BLA...,2,16,2685,17.78,8999
537,SAMSUNG,Galaxy,White),2,256,2685,17.78,9490
538,SAMSUNG,Galaxy,White),2,128,2685,24.64,27999
539,APPLE,iPad,Gold),2,256,2685,32.77,73990
540,APPLE,ipad,2019) 64 GB ROM 7.9 inch with Wi-Fi Only ,2,64,2685,20.07,34900
541,Samsung,Galaxy,0,2,128,2685,24.38,16700
542,APPLE,iPad,4th Generation) 6 GB RAM 1 TB ROM 12.9 inch with Wi-Fi Only ,2,128,2685,32.77,130900
543,APPLE,iPad,Silver),2,128,2685,24.64,38600
544,APPLE,iPad,4th Generation) 6 GB RAM 512 GB ROM 12.9 inch with Wi-Fi Only ,2,32,2685,32.77,116900
545,Honor,MediaPad,Luxurious Gold),2,256,2500,24.38,14041
546,APPLE,iPad,Space Grey),2,32,3500,24.64,38600
547,APPLE,iPad,Space Grey),2,256,7040,24.64,35700
548,APPLE,iPad,3rd Generation) 8 GB RAM 256 GB ROM 11 inches with Wi-Fi Only ,1,64,4850,27.94,79900
549,APPLE,iPad,Space Grey),2,8,4850,32.77,99990
550,Swipe,Slate,Champagne Gold),2,128,2685,25.4,7999
551,APPLE,iPad,2nd Generation) 6 GB RAM 128 GB ROM 11 inch with Wi-Fi Only ,2,16,2685,27.94,63191
552,APPLE,iPad,Gold),2,32,2800,32.77,83990
553,SAMSUNG,Galaxy,Blue),2,8,2685,26.67,24990
554,APPLE,iPad,4th Generation) 6 GB RAM 256 GB ROM 12.9 inch with Wi-Fi Only ,2,8,2685,32.77,94900
555,SAMSUNG,Galaxy,Graphite),2,32,2685,31.5,66999
556,APPLE,iPad,Silver),6,256,10090,32.77,86800
557,Lenovo,Tab,Slate Black),2,64,2685,17.73,8999
558,APPLE,iPad,7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Only ,2,8,2685,25.91,27723
559,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,2,32,2685,35.56,61790
560,APPLE,iPad,Silver),6,512,4800,32.77,99990
561,APPLE,iPad,Space Grey),2,32,2685,32.77,62990
562,APPLE,iPad,Gold),2,32,2685,32.77,74100
563,DELL,Core,16 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 7420 Thin and Light ...,4,128,10090,35.56,107990
564,APPLE,iPad,Silver),2,256,2685,26.67,83990
565,Honor,MediaPad,Luxurious Gold),2,512,2685,20.32,9999
566,APPLE,iPad,2018) 1 TB ROM 11 inch with Wi-Fi+4G ,1,16,2685,27.94,153900
567,DELL,Inspiron,8 GB/512 GB SSD/Windows 10/2 GB Graphics) Inspiron 5410 2 in 1 Lapto...,4,128,3600,35.56,77890
568,APPLE,iPad,2018) 64 GB ROM 12.9 inch with Wi-Fi+4G ,6,256,2685,32.77,103900
569,APPLE,iPad,2018) 256 GB ROM 12.9 inch with Wi-Fi Only ,1,32,4100,32.77,103900
570,SAMSUNG,Galaxy,with Pen) 4 GB RAM 64 GB ROM 10.5 inch with Wi-Fi+4G Tablet ,6,256,2685,26.67,57990
571,DELL,Core,16 GB/512 GB SSD/Windows 10/2 GB Graphics) Inspiron 5410 2 in 1 Laptop,3,128,2685,35.56,81490
572,APPLE,iPad,2018) 64 GB ROM 12.9 inch with Wi-Fi Only ,2,256,7040,32.77,89900
573,SAMSUNG,Galaxy,Silver),2,16,2685,26.67,39999
574,APPLE,iPad,Silver),2,32,2685,24.64,35700
575,DELL,Inspiron,16 GB/512 GB SSD/Windows 10) Inspiron 5410 2 in 1 Laptop,3,512,2685,35.56,79490
576,Huawei,MediaPad,Space Grey),2,64,2685,25.65,22990
577,APPLE,iPad,2018) 256 GB ROM 12.9 inch with Wi-Fi Only ,2,64,2685,32.77,103900
578,SAMSUNG,Galaxy,Black),6,512,2685,25.4,19999
579,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,2,16,2685,35.56,61790
580,SAMSUNG,Galaxy,Mystic Navy),6,64,2685,31.5,73999
581,APPLE,iPad,5th gen) 256 GB ROM 10.9 Inch with Wi-Fi+5G ,6,256,2685,27.69,82900
582,APPLE,iPad,2018) 64 GB ROM 11 inch with Wi-Fi Only ,2,64,7000,27.94,71900
583,APPLE,iPad,2018) 512 GB ROM 11 inch with Wi-Fi Only ,3,64,2685,27.94,103900
584,SAMSUNG,Galaxy,LTE) 6 GB RAM 128 GB ROM 11 inch with Wi-Fi+4G Tablet ,6,64,2685,27.94,63999
585,APPLE,iPad,2018) 512 GB ROM 12.9 inch with Wi-Fi Only ,4,128,2685,32.77,121900
586,APPLE,iPad,2nd Generation) 6 GB RAM 128 GB ROM 11 inch with Wi-Fi+4G ,8,64,7000,27.94,76900
587,APPLE,iPad,2018) 256 GB ROM 11 inch with Wi-Fi Only ,6,256,2685,27.94,85900
588,Alcatel,A3,Black),6,32,7040,25.4,6999
589,APPLE,iPad,6th Gen) 32 GB ROM 9.7 inch with Wi-Fi Only ,6,128,5000,24.64,26488
590,APPLE,iPad,4th Generation) 6 GB RAM 512 GB ROM 12.9 inch with Wi-Fi+4G ,4,256,3200,32.77,130900
591,SAMSUNG,Galaxy,Dark Grey),1,64,2685,26.42,15999
592,Micromax,Canvas,Black),6,512,2685,17.78,4799
593,Lenovo,Tab,Onyx Black),2,128,8000,17.6,13499
594,APPLE,iPad,2nd Generation) 6 GB RAM 128 GB ROM 11 inch with Wi-Fi Only ,3,512,2685,27.94,71900
595,APPLE,iPad,4th Generation) 6 GB RAM 128 GB ROM 12.9 inch with Wi-Fi+4G ,1,128,2685,32.77,103900
596,SAMSUNG,Galaxy,Mystic Black),5,256,2685,31.5,73999
597,Micromax,Fantabulet,Blue),3,16,2685,17.73,8499
598,SAMSUNG,Galaxy,Black),5,32,2685,17.78,9501
599,APPLE,iPad,2018) 64 GB ROM 11 inch with Wi-Fi Only ,6,512,10090,27.94,71900
600,APPLE,iPad,Gold),6,32,4600,32.77,62990
601,LAVA,Magnum,Grey),3,16,2685,25.65,12999
602,Lenovo,Phab,Champagne Gold),8,64,2685,16.26,22999
603,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,1,128,3600,35.56,61790
604,APPLE,iPad,2018) 64 GB ROM 11 inch with Wi-Fi+4G ,6,128,3500,27.94,83890
605,SAMSUNG,Galaxy,Black),3,128,2685,17.78,9501
606,APPLE,iPad,2018) 64 GB ROM 11 inch with Wi-Fi Only ,6,8,5000,27.94,71900
607,APPLE,iPad,4th Generation) 6 GB RAM 128 GB ROM 12.9 inch with Wi-Fi Only ,8,8,2685,32.77,85900
608,iball,Twinkle,Dark Grey),2,64,4600,17.78,4499
609,APPLE,iPad,4th Generation) 6 GB RAM 1 TB ROM 12.9 inch with Wi-Fi+4G ,2,64,2685,32.77,144900
610,Lenovo,Tab,2nd Gen) 1 GB RAM 16 GB ROM 7 inch with Wi-Fi Only Tablet ,4,32,2685,17.78,5999
611,APPLE,iPad,4th Generation) 6 GB RAM 512 GB ROM 12.9 inch with Wi-Fi+4G ,4,64,10090,32.77,130900
612,SAMSUNG,Galaxy,Gold),6,64,10090,26.42,15999
613,APPLE,iPad,6th Gen) 1 TB ROM 12.9 inch with Wi-Fi Only ,6,8,2685,32.77,181900
614,APPLE,iPad,6th Gen) 2 TB ROM 12.9 inch with Wi-Fi Only ,6,64,2685,32.77,221900
615,Lenovo,Tab,Slate Black),1,128,2685,20.32,5999
616,Lenovo,Tab,Slate Black),6,8,2685,20.32,13344
617,Micromax,Funbook,"Wi-Fi, 3G)",3,16,7300,17.78,7999
618,SAMSUNG,Galaxy,Green),1,512,2685,31.5,42999
619,Honor,MediaPad,Luxurious Gold),4,32,7000,24.38,11999
620,SAMSUNG,Galaxy,Mystic Silver),6,16,7000,31.5,51999
621,SAMSUNG,Galaxy,Crea...,6,16,5124,17.78,9300
622,Honor,T1,Silver),6,1,2685,17.78,6999
623,SAMSUNG,Galaxy,Silver),1,64,5870,26.42,18999
624,iball,iTab,Coal Black),5,16,7040,25.65,15034
625,iball,iTab,Champagne Gold),2,128,3200,25.65,14990
626,APPLE,iPad,Space Grey),4,8,8000,24.64,28000
627,I,Kall,"Blue, 64 GB)",5,8,5000,16.51,7779
628,APPLE,iPad,Silver),6,32,2685,32.77,62990
629,SAMSUNG,Galaxy,Black),1,64,2685,26.67,39999
630,SAMSUNG,Galaxy,Metallic Black),6,64,6600,24.38,15500
631,I,Kall,"Dark Blue, 64 GB)",1,32,3200,15.9,6283
632,Smartbeats,N2,White),6,64,2685,17.78,7999
633,SAMSUNG,Galaxy,LTE) 6 GB RAM 128 GB ROM 11 inch with Wi-Fi+4G Tablet ,3,64,3200,27.94,63999
634,SAMSUNG,Galaxy,Mystic Bronze),1,64,2685,31.5,73999
635,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,2,8,2685,35.56,61790
636,Alcatel,A3,"White, Grey)",1,64,4080,25.65,11999
637,SAMSUNG,Galaxy,Silver),4,16,2850,25.4,19999
638,I,Kall,Purple),2,128,8000,17.78,6399
639,I,Kall,"Silver, 8 GB)",6,128,10090,12.7,3999
640,CG,Slate,KG-2) Single Sim Tablet 8 GB 7 inch with Wi-Fi Only,1,32,7000,17.78,15999
641,Micromax,Canvas,Grey),1,32,10090,17.78,7599
642,APPLE,iPad,6th Gen) 1 TB ROM 12.9 inch with Wi-Fi+5G ,3,32,4290,32.77,196900
643,SAMSUNG,Galaxy,Black),4,8,2685,20.32,17990
644,Alcatel,A3,"White, Blue)",4,8,2685,25.65,11999
645,SAMSUNG,Galaxy,Mystic Bronze),2,8,7040,31.5,51999
646,SAMSUNG,Galaxy,Green),4,16,5000,31.5,42999
647,SAMSUNG,Galaxy,with Pen) 4 GB RAM 64 GB ROM 10.5 inch with Wi-Fi+4G Tablet ,5,32,5830,26.67,57900
648,iball,Slide,Charcoal Blue),4,128,2685,17.78,3999
649,Lenovo,TAB,Aurora Black),2,64,2685,25.65,22900
650,Lenovo,M10,Black),6,64,5830,25.65,16999
651,I,Kall,"Blue, 64 GB)",6,8,7000,16.51,7779
652,Apple,iPad,0,3,64,5000,20.07,42900
653,SAMSUNG,Galaxy,Black),4,64,5000,24.64,27999
654,APPLE,iPad,6th Gen) 512 GB ROM 12.9 inch with Wi-Fi+5G ,1,64,7000,32.77,156900
655,I,Kall,"Dark Blue, 64 GB)",1,128,7500,15.9,6283
656,APPLE,iPad,Space Grey),1,32,3450,26.67,63500
657,APPLE,iPad,6th Gen) 256 GB ROM 12.9 inch with Wi-Fi+5G ,2,512,4300,32.77,136900
658,SAMSUNG,Galaxy,Gold),3,64,6000,26.67,39999
659,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,6,256,2685,35.56,61790
660,Smartbeats,S5,Black),4,256,2850,17.78,7999
661,APPLE,iPad,Space Grey),4,64,2685,32.77,73990
662,REDMI,Pad,Graphite Gray),4,16,2685,26.95,14999
663,I,Kall,"Silver, 8 GB)",4,256,2685,12.7,3999
664,I,Kall,Black),4,64,2685,25.4,9499
665,APPLE,iPad,Gold),2,8,2685,20.07,33800
666,Apple,iPad,0,3,32,2685,20.07,45900
667,acer,One,Rose Gold),4,128,6000,25.65,15999
668,Smartbeats,N4,Black),2,128,2685,17.78,4999
669,Smartbeats,N4,White),3,64,2685,17.78,6999
670,Alcatel,3T,Prime Black),1,8,7000,25.4,14999
671,LAVA,Magnum,White),3,8,7000,17.73,7999
672,SAMSUNG,Galaxy,Mystic Black),2,16,2685,27.94,58999
673,Apple,iPad,0,2,16,2685,20.07,44500
674,Apple,iPad,0,4,128,2685,20.07,45900
675,SAMSUNG,Galaxy,Graphite),1,128,3000,31.5,66999
676,Elevn,eTab,Aluminium Grey),1,128,2685,25.65,17999
677,SAMSUNG,Galaxy,Pink),2,128,2685,31.5,42999
678,Lenovo,Tab,Black),2,128,7000,20.32,8499
679,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,6,64,2685,35.56,61790
680,APPLE,iPad,Silver),2,16,2685,20.07,42900
681,SAMSUNG,Galaxy,Gold),2,128,2685,26.42,16999
682,Swipe,X1,Gold),8,64,4850,25.65,14499
683,Alcatel,Pop,Dark Grey),4,64,2685,25.65,11999
684,Alcatel,Pop,Grey),4,16,2685,25.65,10999
685,Elevn,eTab,Aluminium Grey),2,16,4300,25.65,15999
686,Swipe,New,Grey),2,64,4200,25.65,8999
687,Swipe,New,Gold),3,16,8500,25.65,8999
688,APPLE,iPad,Space Grey),4,16,4000,20.07,33800
689,iball,Slide,Cobalt Brown),2,128,2685,25.65,13999
690,Huawei,MediaPad,Champagne Gold),2,16,2685,25.65,20990
691,Lenovo,Tab,Slate Black),4,32,2685,17.78,7999
692,iball,Slide,Rose Gold),2,16,2685,20.32,9999
693,SAMSUNG,Galaxy,with Pen) 4 GB RAM 32 GB ROM 9.7 inch with Wi-Fi+4G Tablet ,2,16,7800,24.64,47990
694,LAVA,Magnum,Dark Blue),2,32,2685,17.73,7999
695,SAMSUNG,Galaxy,with Pen) 4 GB RAM 32 GB ROM 9.7 inch with Wi-Fi+4G Tablet ,2,16,2685,24.64,47990
696,iball,iTAB,Coal Black),3,32,7040,25.65,10990
697,iball,iTAB,Coal Black),1,32,2685,25.65,10990
698,I,Kall,White),3,32,2685,20.32,5794
699,I,Kall,"Blue, 64 GB)",4,16,2685,16.51,7779
700,Lenovo,Tab,Aurora Black),2,64,2685,25.65,26999
701,APPLE,ipad,2019) 64 GB ROM 7.9 inch with Wi-Fi Only ,4,64,5000,20.07,34900
702,Lenovo,Tab,Slate Black),2,64,2685,25.65,13499
703,I,Kall,"Dark Blue, 64 GB)",2,16,2685,15.9,6283
704,iball,Slide,Rose Gold),2,64,2685,20.32,9999
705,SAMSUNG,Galaxy,Sandy White),4,16,5080,20.32,14999
706,Lenovo,Yoga,Gunmetal Grey),4,16,2800,25.65,44990
707,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,2,64,2685,35.56,61790
708,SAMSUNG,Galaxy,Black),4,8,2800,17.78,11900
709,iball,Brace,Gold),3,32,2685,25.65,19999
710,Wishtel,IRA,Black),2,16,2685,17.78,7854
711,I,Kall,"Silver, 8 GB)",4,8,2685,12.7,3999
712,SAMSUNG,Galaxy,Cloud Blue),5,128,2685,26.67,44999
713,Lenovo,Tab,2nd Gen) 2 GB RAM 32 GB ROM 10.1 inches with Wi-Fi+4G Tablet ,3,32,2685,25.65,13999
714,Lenovo,Ideapad,Mineral ...,2,128,2685,25.65,22999
715,SAMSUNG,Galaxy,Black),1,32,2685,20.32,11999
716,I,Kall,Black),6,4,2685,17.78,3799
717,I,Kall,White),2,4,2685,17.78,3999
718,Wishtel,Ira,Black),4,8,2685,17.78,4713
719,APPLE,iPad,6th Gen) 512 GB ROM 12.9 inch with Wi-Fi Only ,1,512,2685,32.77,141900
